"Date","Price","Open","High","Low","Vol.","Change %"
"07/25/2024","63.27","65.56","67.34","62.13","94.06M","-3.33%"
"07/24/2024","65.45","70.23","70.38","65.04","79.79M","-10.78%"
"07/23/2024","73.36","73.73","75.13","73.14","43.56M","-1.08%"
"07/22/2024","74.16","73.65","74.63","72.12","56.40M","4.36%"
"07/19/2024","71.06","72.80","73.97","70.44","59.12M","-2.71%"
"07/18/2024","73.04","75.81","75.92","71.55","65.84M","-1.50%"
"07/17/2024","74.15","77.33","77.57","74.09","71.42M","-8.79%"
"07/16/2024","81.30","81.94","82.35","79.74","41.82M","0.07%"
"07/15/2024","81.24","81.47","83.62","80.23","54.95M","0.74%"
"07/12/2024","80.64","79.51","82.94","79.29","50.51M","1.63%"
"07/11/2024","79.35","84.97","85.06","78.70","74.66M","-6.57%"
"07/10/2024","84.93","83.32","85.20","82.67","38.78M","3.13%"
"07/09/2024","82.35","82.92","83.49","81.62","36.19M","0.22%"
"07/08/2024","82.17","81.81","82.46","81.28","36.68M","0.66%"
"07/05/2024","81.63","79.57","81.85","79.43","39.81M","3.03%"
"07/03/2024","79.23","76.95","79.31","76.95","28.08M","2.46%"
"07/02/2024","77.33","74.29","77.38","74.24","37.48M","3.07%"
"07/01/2024","75.03","74.16","75.29","72.42","43.28M","1.64%"
"06/28/2024","73.82","75.29","77.53","73.45","53.90M","-1.57%"
"06/27/2024","75.00","74.32","75.70","73.92","37.06M","0.73%"
"06/26/2024","74.46","73.60","74.70","73.41","36.27M","0.24%"
"06/25/2024","74.28","72.79","74.43","72.37","39.30M","3.34%"
"06/24/2024","71.88","73.82","74.63","71.80","46.88M","-3.39%"
"06/21/2024","74.40","74.90","75.53","73.72","38.86M","-0.92%"
"06/20/2024","75.09","77.46","77.66","74.22","52.73M","-2.35%"
"06/18/2024","76.90","76.83","77.23","76.06","33.22M","0.05%"
"06/17/2024","76.86","74.28","77.72","73.67","46.68M","3.63%"
"06/14/2024","74.17","72.95","74.21","72.73","35.78M","1.45%"
"06/13/2024","73.11","73.57","73.89","72.07","43.64M","1.60%"
"06/12/2024","71.96","71.01","73.02","70.72","62.20M","3.94%"
"06/11/2024","69.23","67.32","69.32","66.66","35.69M","2.06%"
"06/10/2024","67.83","66.59","68.06","66.48","36.23M","1.06%"
"06/07/2024","67.12","67.12","68.32","66.62","44.97M","-0.37%"
"06/06/2024","67.37","67.74","67.88","66.85","36.52M","-0.12%"
"06/05/2024","67.45","65.12","67.48","64.65","52.44M","6.04%"
"06/04/2024","63.61","63.00","64.13","62.27","44.25M","0.74%"
"06/03/2024","63.14","63.73","64.15","60.96","55.72M","0.98%"
"05/31/2024","62.53","62.60","62.89","58.96","71.87M","-0.11%"
"05/30/2024","62.60","64.25","64.29","61.99","42.78M","-3.22%"
"05/29/2024","64.68","64.24","65.44","64.20","39.64M","-2.09%"
"05/28/2024","66.06","65.86","66.10","64.80","41.59M","1.09%"
"05/24/2024","65.35","64.25","65.89","63.94","41.28M","2.80%"
"05/23/2024","63.57","66.50","66.51","62.80","65.44M","-1.49%"
"05/22/2024","64.53","64.69","65.00","63.42","40.02M","-0.06%"
"05/21/2024","64.57","63.44","64.67","63.35","31.16M","0.51%"
"05/20/2024","64.24","63.02","64.53","62.94","37.27M","2.07%"
"05/17/2024","62.94","63.09","63.35","62.02","35.05M","-0.22%"
"05/16/2024","63.08","63.36","64.20","62.99","43.86M","-0.61%"
"05/15/2024","63.47","61.69","63.62","61.06","65.24M","4.62%"
"05/14/2024","60.67","59.36","60.90","59.28","46.48M","1.86%"
"05/13/2024","59.56","59.92","59.97","58.98","33.86M","0.66%"
"05/10/2024","59.17","59.36","60.07","58.54","46.33M","0.68%"
"05/09/2024","58.77","58.50","59.00","57.75","40.72M","0.55%"
"05/08/2024","58.45","57.50","59.01","57.45","39.01M","-0.19%"
"05/07/2024","58.56","58.72","59.23","58.28","46.66M","0.00%"
"05/06/2024","58.56","57.42","58.60","57.12","41.27M","3.28%"
